Service Type,Historical Avg,Historical Std,Forecast Avg,Forecast Trend
Local Route,9891.39520333681,6120.715713655094,8622.142857142857,Stable/Decreasing
Light Rail,7195.44629822732,3345.6164281462493,7124.142857142857,Stable/Decreasing
Peak Service,179.5813347236705,156.53273803280746,174.57142857142858,Stable/Decreasing
Rapid Route,12597.213242961418,6720.494556960247,12078.57142857143,Stable/Decreasing
School,2352.694994786236,2494.7663064134967,1148.0,Stable/Decreasing
